iter	Passed	Remaining
0	1236	1235150
1	1243	620372
2	1247	414507
3	1249	311153
4	1251	249086
5	1255	208073
6	1258	178471
7	1260	156276
8	1262	139002
9	1264	125180
10	1266	113869
11	1269	104522
12	1272	96593
13	1274	89775
14	1276	83853
15	1281	78816
16	1287	74439
17	1291	70465
18	1294	66836
19	1297	63568
20	1303	60762
21	1306	58081
22	1309	55614
23	1311	53347
24	1316	51355
25	1319	49412
26	1321	47609
27	1323	45934
28	1325	44373
29	1327	42916
30	1329	41562
31	1331	40285
32	1333	39086
33	1335	37956
34	1338	36891
35	1340	35884
36	1342	34940
37	1344	34044
38	1346	33188
39	1348	32374
40	1350	31599
41	1353	30868
42	1357	30203
43	1359	29531
44	1361	28888
45	1363	28273
46	1365	27685
47	1368	27132
48	1370	26603
49	1373	26087
50	1375	25603
51	1377	25121
52	1380	24659
53	1382	24212
54	1384	23782
55	1386	23367
56	1389	22993
57	1392	22608
58	1394	22243
59	1396	21884
60	1398	21534
61	1401	21197
62	1404	20891
63	1407	20581
64	1409	20274
65	1411	19977
66	1413	19687
67	1416	19410
68	1419	19158
69	1421	18892
70	1424	18632
71	1426	18380
72	1428	18134
73	1430	17896
74	1432	17669
75	1435	17449
76	1437	17228
77	1439	17012
78	1441	16802
79	1443	16599
80	1445	16399
81	1448	16221
82	1450	16021
83	1452	15837
84	1454	15655
85	1456	15482
86	1458	15309
87	1462	15161
88	1465	14996
89	1467	14836
90	1469	14680
91	1471	14525
92	1473	14373
93	1476	14226
94	1479	14092
95	1481	13951
96	1484	13817
97	1486	13684
98	1488	13550
99	1493	13441
100	1497	13326
101	1500	13208
102	1503	13091
103	1509	13002
104	1511	12883
105	1513	12765
106	1515	12649
107	1517	12535
108	1519	12423
109	1523	12326
110	1526	12222
111	1528	12116
112	1530	12012
113	1532	11909
114	1534	11809
115	1537	11713
116	1539	11620
117	1541	11524
118	1543	11430
119	1546	11338
120	1548	11248
121	1550	11155
122	1553	11078
123	1556	10992
124	1558	10906
125	1560	10821
126	1561	10736
127	1563	10653
128	1565	10573
129	1569	10505
130	1571	10427
131	1574	10351
132	1576	10278
133	1578	10203
134	1580	10129
135	1584	10065
136	1586	9995
137	1588	9925
138	1591	9856
139	1593	9789
140	1596	9726
141	1599	9663
142	1601	9597
143	1603	9532
144	1605	9468
145	1607	9405
146	1610	9343
147	1613	9291
148	1616	9231
149	1618	9171
150	1620	9111
151	1622	9052
152	1624	8994
153	1628	8945
154	1630	8888
155	1632	8832
156	1634	8777
157	1636	8722
158	1638	8668
159	1643	8626
160	1644	8570
161	1646	8519
162	1649	8467
163	1651	8416
164	1653	8366
165	1655	8316
166	1659	8275
167	1661	8227
168	1663	8178
169	1665	8132
170	1667	8086
171	1670	8039
172	1673	8000
173	1676	7957
174	1678	7913
175	1680	7868
176	1682	7824
177	1685	7783
178	1689	7747
179	1691	7704
180	1693	7661
181	1695	7619
182	1697	7577
183	1699	7536
184	1702	7502
185	1705	7462
186	1707	7422
187	1709	7382
188	1711	7343
189	1713	7304
190	1715	7266
191	1718	7232
192	1720	7195
193	1722	7157
194	1724	7120
195	1727	7084
196	1729	7047
197	1732	7018
198	1734	6982
199	1736	6947
200	1738	6912
201	1740	6877
202	1742	6842
203	1744	6808
204	1748	6780
205	1750	6746
206	1752	6713
207	1754	6681
208	1756	6648
209	1758	6616
210	1763	6593
211	1765	6561
212	1768	6535
213	1771	6504
214	1773	6473
215	1776	6447
216	1778	6418
217	1781	6390
218	1783	6360
219	1785	6331
220	1787	6302
221	1791	6278
222	1794	6252
223	1796	6223
224	1798	6195
225	1800	6166
226	1802	6139
227	1805	6112
228	1808	6089
229	1810	6062
230	1812	6035
231	1815	6008
232	1817	5981
233	1819	5955
234	1822	5933
235	1825	5908
236	1827	5882
237	1829	5856
238	1831	5830
239	1833	5805
240	1836	5784
241	1839	5760
242	1841	5735
243	1843	5711
244	1845	5687
245	1847	5663
246	1851	5643
247	1853	5619
248	1855	5596
249	1857	5572
250	1859	5549
251	1861	5526
252	1863	5503
253	1866	5483
254	1869	5461
255	1871	5438
256	1873	5416
257	1875	5394
258	1878	5373
259	1882	5357
260	1884	5336
261	1886	5314
262	1888	5292
263	1890	5271
264	1892	5250
265	1896	5233
266	1898	5212
267	1900	5191
268	1902	5170
269	1904	5150
270	1907	5130
271	1910	5113
272	1912	5093
273	1914	5073
274	1916	5053
275	1919	5034
276	1921	5014
277	1923	4994
278	1926	4978
279	1928	4959
280	1930	4940
281	1933	4921
282	1935	4902
283	1937	4883
284	1940	4868
285	1942	4850
286	1944	4831
